Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
066/2020;NFH;11/03/2020;00060-00097288/2020-65;Jefferson;091/2020;2;92403;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 8,0 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;ALFA (703521);30.337.889/0001-68;2000;0,8800000; R$1.760,00 ;19/03/2020;192;20/03/2020;20/03/2020;24/03/2020;90463;14/04/2020;2;;;;;;PLACA ESCAVADA P/ VDRL 1
034/2019;NECFM;19/09/2019;00060-00390799/2019-10;Oberdan;.307/2019;1;ASP02;1;;;CONSERTO DE Aspirador Cirúrgico, marca Inalamed, nº patrimônio 874067;Serviço;1;SEMED (703277);24.732.126/0001-19;1;680,0000000; R$680,00 ;25/10/2019;220;03/05/2020;17/06/2020;17/06/2020;32455;29/06/2020;A/A;;;;;;0
147/2020;NFH;13/05/2020;00060-00195215/2020-38;Bruno;231/2020;1;12117;2;X;X;SALTO ORTOPÉDICO GRANDE, Aplicação: correção ortopédica, Material: borracha, Tamanho/Capacidade: grande, Unidade De Fornecimento: unidade;UN;100;VITTAMED (702957);22.530.297/0001-30;100;5,0000000; R$500,00 ;19/05/2020;359;02/06/2020;02/06/2020;03/06/2020;30403;25/06/2020;3;;;;;;PINÇA DUVAL COM VÍDEA
027/2020;NUAL;24/03/2020;00060-00120050/2020-41;Clayton;109/2020;6;568;1;X;X;LÃ DE AÇO-ESPONJA,Material: lã de aço, Peso: 60 g, Unidade De Fornecimento: pacote com 8 unidades.;UN;700;JD PAPELARIA (703434);30.351.408/0001-79;700;0,9900000; R$693,00 ;26/03/2020;387;30/03/2020;31/03/2020;03/04/2020;90635;14/04/2020;2;;;;;;RIBON
027/2020;NUAL;24/03/2020;00060-00120050/2020-41;Clayton;109/2020;2;5221;4;X;X;SACO PLÁSTICO,Material: confeccionado com matéria-prima não reciclada, atóxico, onodoro, Cor: incolor, Largura: 40 cm, Altura: 60 cm, Espessura: 0,06 micras, Características Adicionais: bobinas picotadas de 40 cm de largura x 60 cm de comprimento, que permita boa selagem, Unidade De Fornecimento: bobina;KG;400;JD PAPELARIA (703434);30.351.408/0001-79;300;13,8000000; R$4.140,00 ;26/03/2020;387;30/03/2020;31/03/2020;03/04/2020;90635;14/04/2020;2;;;;;;0
056/2020;NUAL;29/04/2020;00060-00175668/2020-48;Clayton;198/2020;1;21635;1;X;X;TECIDO COURVIM, Material: courvim com malha resistente, Cor: preta, Largura: 1,38 m;MT;100;MUNDO DOS COUROS (700773);04.516.032/0001-03;100;16,9000000; R$1.690,00 ;04/05/2020;392;08/05/2020;08/05/2020;11/05/2020;18138;04/06/2020;3;;;;;;LEVOTIROXINA
057/2020;NUAL;29/04/2020;00060-00175752/2020-61;Robson;199/2020;1;12495;1;X;X;TECIDO COURVIM, Material: courvim com malha resistente, Cor: cinza, Largura: 1,38 m;MT;100;MUNDO DOS COUROS (700773);04.516.032/0001-03;100;16,9000000; R$1.690,00 ;06/05/2020;393;08/05/2020;08/05/2020;11/05/2020;18140;04/06/2020;3;;;;;;LACTULOSE XAROPE 667 MG/ML FRASCO 120 ML
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;2;CAM18;1;;;Conserto da Cama marca HOSPIMETAL, Chapa patrimonial n° 878297;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;700,0000000; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;3;CAM65;1;;;CONSERTO DE CAMA ELETRÔNICA - STRYKER PAT.: 019964;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;700,0000000; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;4;CAM69;1;;;CONSERTO DE CAMA Marca STRYKER, Nº. Patrimônio 019967;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;700,0000000; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;3;TEN03;1;;;Conserto de Estimulador Elétrico Transcutâneo, Marca KINESIS TENS, Nº Patrimônio 707951;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;250,0000000; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;1;TEN01;1;;;Conserto do Aparelho TENS/FES Marca KINESIS NEW, Chapa patrimonial n°776007.;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;250,0000000; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;2;TEN02;1;;;Conserto do Aparelho TENS/FES Marca KINESIS NEW, Chapa patrimonial n°776010.;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;250,0000000; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;ELETRODO DE BISTURI ELETRICO
035/2019;NECFM;19/09/2019;00060-00392200/2019-82;Oberdan;.305/2019;1;CAN05;1;;;Conserto do Carro de ANESTESIA, Marca MINDRAY, Modelo WATO EX-65, Chapa patrimonial n°930652.;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;4980,0000000; R$4.980,00 ;03/12/2019;408;13/01/2020;14/01/2020;14/01/2020;44860;24/01/2020;A/A;;;;;;
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;4;32837;1;X;X;BRAÇADEIRA CONFECCIONADA EM NYLON PARA USO EXCLUSIVO EM APARELHO DE PRESSÃO. Braçadeira confeccionada em tecido nylon, flexível e antialérgico, contendo o nº da portaria do INMETRO, medindo 52 X 14 cm. Circunferência do braço a ser utilizado 18 a 36 cm. Fecho em velcro. Processo de esterilização: não estéril. Embalagem individual. ;UN;20;DS MEDICAL (702905);22.146.429/0001-24;20;23,5000000; R$470,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 6,5
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;3;27716;1;X;X;PÊRA para reposição em aparelho de pressão - Esfignomanômetro;UN;20;DS MEDICAL (702905);22.146.429/0001-24;20;10,9000000; R$218,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;6;12135;1;X;X;ROLAMENTO N.608-ZZ PADRAO SKF  1;UN;20;DS MEDICAL (702905);22.146.429/0001-24;20;3,0000000; R$60,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;2;35771;1;X;X;Sensor para Oximetria de Pulso (SPO²), tipo Y, para Oxímetro MINDRAY VS800 (neonatal).;UN;10;DS MEDICAL (702905);22.146.429/0001-24;10;290,0000000; R$2.900,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;0
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;1;21073;2;X;X;SUGADOR DE SOLDA ALUMÍNIO, Características Técnicas Mínimas: manual, para remoção de solda de circuitos eletrônicos, corpo confeccionado em plástico resistente, com comprimento de 20 cm Código do Item: 3.3.90.30.26.02.0078.000001-01;UN;2;DS MEDICAL (702905);22.146.429/0001-24;2;38,0000000; R$76,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;0
020/2020;NUAL;09/03/2020;00060-00090722/2020-86;Clayton;094/2020;7;22580;1;X;X;VÁVULA PARA REPARO DE ESFIGMOMANÔMETRO. Válvula em metal, altamente resistente, com regulagem de saída de ar sensível. Processo de esterilização: não estéril. Embalagem individual. ;PE;20;DS MEDICAL (702905);22.146.429/0001-24;20;12,2000000; R$244,00 ;19/03/2020;424;30/03/2020;30/03/2020;30/03/2020;90479;14/04/2020;2;;;;;;FÓRMULA INFANTIL PARA LACTENTES
028/2020;NUAL;30/03/2020;00060-00129847/2020-11;Clayton;120/2020;1;35753;2;X;X;TERMÔMETRO AURICULAR, DIGITAL, INFRAVERMELHO DIGITAL, USO CLÍNICO. Aplicação (finalidade): verificação de temperatura corporal por meio da radiação térmica do canal auditivo. Composição: digital com sensor infravermelho protegido e à prova d\'água, revestido de plástico, visor LCD. Características adicionais: tempo de leitura máximo de 5 seg., desligamento automático, indicador de pilha, aviso de conclusão da medição. Processo de Esterilização: não estéril. Prazo de validade: indeterminado. Apresentação: embalagem individual. ;UN;13;DS MEDICAL (702905);22.146.429/0001-24;13;389,9000000; R$5.068,70 ;03/04/2020;425;06/04/2020;06/04/2020;06/04/2020;97703;29/04/2020;2;;;;;;HEPARINA SODICA SOLUÇAO INJETAVEL 5000 UI/ML FRASCO AMPOLA 5 ML
007/2020;NECFM;20/02/2020;00060-00069014/2020-86;Oberdan;070/2020;1;OPU06;1;;;Conserto Oxímetro de Pulso, Marca MINDRAY, Modelo VS 800, Nº Patrimônio 881308, Nº de Série 16128436 .;Serviço;1;DS MEDICAL (702905);22.146.429/0001-24;1;300,0000000; R$300,00 ;02/04/2020;426;14/04/2020;16/04/2020;16/04/2020;97451;29/04/2020;2;;;;;;CAMISOLA ADULTO EM CRETONE BRANCO TAM 48
128/2020;NUAL;19/06/2020;00060-00260269/2020-81;Jefferson;405/2020;1;202819;1;X;X;PINÇA MIXTER, Aplicação: Apreensão de tecidos, Material: Aço inoxidável AISI, Tamanho: 230 mm,  Características Adicionais: As pontas deverão ser bem delicadas, com bom acabamento, de modo a atender a finalidade a qual se destina. A peça não deverá apresentar buracos, frestas ou folga no encaixe. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos. O polimento deverá ser o mais perfeito possível, naturalmente compatível com a aplicação que destina o instrumento. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho.  Cada peça deverá ter uma gravação eletroquímica com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual, Processo de Esterilização: Não estéril , Forma de apresentação: Unidade., Prazo de Validade: Indeterminado.;UN;40;EUROMEDICAL (703762);22.727.121/0001-72;39;54,1500000; R$2.111,85 ;29/06/2020;431;03/07/2020;14/07/2020;14/07/2020;54218;03/08/2020;4;;;;;;TOUCA HOSPITALAR
122/2020;NUAL;19/06/2020;00060-00258884/2020-28;Jefferson;408/2020;4;27628;1;X;X;"PORTA AGULHA MAYO HEGAR SEM VÍDEA 140 MM. Aplicação: Fixação da agulha em sutura de tecidos. Material: Aço inoxidável AISI 420, tamanho: 140 mm, modelo Mayo Hegar 14 cm. Características: As pontas deverão ser bem delicadas, com bom acabamento. A peça não deverá apresentar buracos, frestas ou folga no encaixe. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos e o polimento deverá ser o mais perfeito possível, naturalmente compatível com a aplicação a qual se destina o instrumento. Quando se tratar de porta-agulha com pastilha de tungstênio: - a junção entre a pastilha e o porta-agulha não deverá apresentar poros, nem falhas; - a pastilha de tungstênio não poderá descolar do porta-agulha com facilidade; - apresentar os anéis dourados para identificar que se tratam de porta-agulha com pastilha de tungstênio. Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código / lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual. Processo de esterilização: Não estéril; material cirúrgico reutilizável, esterilizável em autoclave. Forma de apresentação: Unidade, Prazo de validade: Indeterminado.";UN;100;EUROMEDICAL (703762);22.727.121/0001-72;80;15,4000000; R$1.232,00 ;29/06/2020;432;06/07/2020;14/07/2020;17/07/2020;54166;03/08/2020;4;;;;;;FENTANILA ADESIVO
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;2;17169;1;X;X;PINÇA KELLY RETA, Aplicação: Apreensão e Hemostasia, Material: Aço inoxidável AISI, Tamanho: 140 mm,   Características Adicionais: A pinça deverá ter as pontas delicadas e as serrilhas precisas para fazer adequadamente as hemostasias.  A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade.O encaixe não deverá ser muito justo, a ponto de dificultar a abertura e o fechamento da peça, mas também não poderá ser muito folgado, a ponto de dificultar a apreensão dos tecidos. Os encaixes não deverão ter buracos, ou frestas que possam acumular detritos provocando manchas e/ou corrosão. As pinças não poderão ter cantos vivos, que possam ferir os pacientes, ou cortar as luvas dos cirurgiões. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos, e o polimento deverá ser o mais perfeito possível. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho. As pinças deverão ser as mais leves possíveis.     Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF) Embalagem individual, Processo de Esterilização, Não estéril, Forma de apresentação: Unidade, Prazo de Validade: Indeterminado.;UN;210;EUROMEDICAL (703762);22.727.121/0001-72;144;14,1600000; R$2.039,04 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;FLUCONAZOL SOLUCAO INJETAVEL 2 MG/ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;3;17170;1;X;X;"PINÇA KELLY CURVA 140MM. Aplicação (finalidade): Apreensão e Hemostasia; pinçamento e dissecção de tecidos e estruturas delicadas. Material/Composição: Aço inoxidável 420 AISI, Tamanho: 140 mm. Características Adicionais: A pinça deverá ter as pontas delicadas e as serrilhas precisas para fazer adequadamente as hemostasias.  A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O encaixe não deverá ser muito justo, a ponto de dificultar a abertura e o fechamento da peça, mas também não poderá ser muito folgado, a ponto de dificultar a apreensão dos tecidos. Os encaixes não deverão ter buracos, ou frestas que possam acumular detritos provocando manchas e/ou corrosão. As pinças não poderão ter cantos vivos, que possam ferir os pacientes, ou cortar as luvas dos cirurgiões. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos, e o polimento deverá ser o mais perfeito possível. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho. As pinças deverão ser as mais leves possíveis. Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Processo de Esterilização: não estéril, realizar esterilização em autoclave, material cirúrgico reutilizável. Prazo de validade: indeterminado. Embalagem individual. ";UN;210;EUROMEDICAL (703762);22.727.121/0001-72;187;14,1600000; R$2.647,92 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;LEVOFLOXACINO
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;4;18618;1;X;X;PINÇA CRILLER CURVA, Aplicação: Hemostasia, Material: Aço inoxidável AISI, Tamanho: 160 mm,  Características Adicionais: A pinça deverá ter as pontas delicadas e as serrilhas precisas para fazer adequadamente as hemostasias. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O encaixe não deverá ser muito justo, a ponto de dificultar a abertura e o fechamento da peça, mas também não poderá ser muito folgado, a ponto de dificultar a apreensão dos tecidos. Os encaixes não deverão ter buracos ou frestas que possam acumular detritos provocando manchas e/ou corrosão. As pinças não poderão ter cantos vivos, que possam ferir os pacientes ou cortar as luvas dos cirurgiões. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos e o polimento deverá ser o mais perfeito possível. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho. As pinças deverão ser as mais leves possíveis. Cada peça deverá ter uma gravação eletroquímica com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual, Processo de Esterilização: Não estéril , Forma de Apresentação: Unidade, Prazo de Validade: Indeterminado.;UN;150;EUROMEDICAL (703762);22.727.121/0001-72;115;17,7200000; R$2.037,80 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;ALGODAO HIDROFILO BRANCO 20CMX100CM EM ROLO 500G
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;5;18619;1;X;X;PINÇA CRILLER RETA, Aplicação: Hemostasia, Material: Aço inoxidável AISI, Tamanho: 160 mm,  Características Adicionais: A pinça deverá ter as pontas delicadas e as serrilhas precisas para fazer adequadamente as hemostasias. A cremalheira deverá ter um funcionamento suave e progressivo, sem trancos e sem escapar com facilidade. O encaixe não deverá ser muito justo, a ponto de dificultar a abertura e o fechamento da peça, mas também não poderá ser muito folgado, a ponto de dificultar a apreensão dos tecidos. Os encaixes não deverão ter buracos ou frestas que possam acumular detritos provocando manchas e/ou corrosão. As pinças não poderão ter cantos vivos, que possam ferir os pacientes ou cortar as luvas dos cirurgiões. O funcionamento geral da peça deverá ser suave, sem raspar no encaixe, sem machucar os dedos e o polimento deverá ser o mais perfeito possível. O tratamento térmico deverá ser integral a fim de conferir às peças a dureza e flexibilidades necessárias ao seu desempenho. As pinças deverão ser as mais leves possíveis. Cada peça deverá ter uma gravação eletroquímica com clara identificação do fabricante e código/lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual, Processo de Esterilização: Não estéril , Forma de Apresentação: Unidade, Prazo de Validade: Indeterminado.;UN;150;EUROMEDICAL (703762);22.727.121/0001-72;109;17,7200000; R$1.931,48 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;FLUCONAZOL SOLUCAO INJETAVEL 2 MG/ML BOLSA OU FRASCO 100 ML SISTEMA FECHADO DE INFUSAO
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;6;23382;1;X;X;"PINÇA KELLY RETA 16cm; Aplicação: Instrumental cirúrgico; Material: PINÇA KELLY RETA confeccionada em aço inox de 1a. qualidade, medindo 16cm de comprimento, embalada individualmente em plástico, constando externamente os dados de identificação e procedência, Garantia de fabrica: 10 anos contra defeitos de fabricação. Registro Ministério da Saúde. Serve para uso cirúrgico geral, pinçar artérias e veias, interroper fluxo sanguíneo; Tamanho: 16cm; Processo de esterilização; não esteril; Forma de apresentação; embalagem individual; Prazo de validade; 10 anos contra defeito de fabricação, Unidade de estoque: unidade";UN;80;EUROMEDICAL (703762);22.727.121/0001-72;80;15,1300000; R$1.210,40 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;AGULHA ANESTÉSICA RAQUIDIANA 27G
127/2020;NUAL;19/06/2020;00060-00260058/2020-49;Clayton;409/2020;10;29894;1;X;X;PINÇA DE SHERON ASSEPSIA 25 CM.;UN;20;EUROMEDICAL (703762);22.727.121/0001-72;20;32,1000000; R$642,00 ;26/06/2020;433;06/07/2020;10/07/2020;13/07/2020;47184;21/07/2020;4;;;;;;CEFEPIMA PO PARA SOLUCAO INJETAVEL 1 G FRASCO-AMPOLA
123/2020;NUAL;19/06/2020;00060-00259014/2020-76;Robson;407/2020;1;203012;1;X;X;"CUBA RIM,Aplicação: Utensíio hospitalar.Material: Aço inoxidável AISI,Tamanho:  260 x 120 mm; 700 ml Superfícies arredondadas Características adicionais: A peça deverá apresentar um bom acabamento superficial e ser adequada ao trabalho a que se destina. O material deverá ter tratamento térmico integral a fim de atingir a dureza adequada a um perfeito desempenho. O polimento deverá ser isento de buracos ou defeitos superficiais que possam provocar manchas ou corrosão. Cada peça deverá ter uma gravação a laser com clara identificação do fabricante e código / lote de identificação da data de fabricação, iniciais da instituição (SES-DF). Embalagem individual.Processo de esterilização: Não estéril, Forma de apresentação:  Unidade,Prazo de validade: Indeterminado.";UN;100;EUROMEDICAL (703762);22.727.121/0001-72;100;49,7900000; R$4.979,00 ;26/06/2020;436;09/07/2020;13/07/2020;14/07/2020;54603;03/08/2020;4;;;;;;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8
038/2020;NUAL;15/04/2020;00060-00157124/2020-02;Robson;164/2020;1;24543;2;X;X;LÂMPADA ALOGÊNEA, 12 volt\'s , 30 Wat\'s para uso em Microscópio em laboratório.;UN;10;DS MEDICAL (702905);22.146.429/0001-24;10;75,0000000; R$750,00 ;29/04/2020;442;15/05/2020;15/05/2020;15/05/2020;18090;04/06/2020;3;;;;;;
069/2020;NUAL;12/05/2020;00060-00192967/2020-47;Clayton;225/2020;1;24543;2;X;X;LÂMPADA ALOGÊNEA, 12 volt\'s , 30 Wat\'s para uso em Microscópio em laboratório.;UN;15;DS MEDICAL (702905);22.146.429/0001-24;5;75,0000000; R$375,00 ;15/05/2020;448;29/05/2020;02/06/2020;03/06/2020;30419;25/06/2020;3;;;;;;TUBO DE REPOSIÇÃO PARA GASTROSTOMIA
